id;name;source;climate_zone;country;coordinates;land_use;farm_size;tree;crop;livestock;description;photo;website_official_link;website_official_text;website_other_1_link;website_other_1_text;website_other_2_link;website_other_2_text;website_other_3_link;website_other_3_text
25;Red Tractor Farm, Greece;EURAF Featured Farms;Southern Europe;Greece;;Intercropped orchards;3;Olives, vines, oaks, olive oil, red wine, acorn flour;Mixed fruit and vegetables;;Red Tractor Farm is an agrotourism project on Kea island in the Cyclades. The farm occupies 3.24 ha located 150 meters from the sea near the port town of Korissia. The farm has excellent soil due to annual topsoil runoff from surrounding hills. It has been certified organic since 2008, producing red wine, olive oil, cannery products.;RedTractor.png;https://www.redtractorfarm.com/;Red Tractor Farm;https://doi.org/10.5281/zenodo.10908966;EURAF Featured Farm;;;;
26;Rindergilde Geesthacht;EURAF Featured Farms;Western and Central Europe;Germany;53.406722909666655, 10.439959957672539;Hedgerows, riparian buffers and shelterbelts;52;The term ‘Knicks’ derives from the German verb “knicken” and describes that branches were bended downwards and stuck into the soil to promote dense growth. Well-maintained ‘Knicks’ offer a remarkable ecological diversity, because they are structured into tree, shrub and grass layer - as two assembled forest margins. Among the prevailing plants are whitethorn, blackthorn, oak trees and wild fruits.;;Angus cows;"In 2017, Rindergilde Geesthacht won an award for their well-maintained ‘Knicks’. The so-called ‘Knicks’ are a wide-spread traditional hedgerow system in the region of Schleswig-Holstein, with a combined length of more than 68.000 kilometres – corresponding to one and a half times the circumference of the earth. ‘Knicks’ are man-made soil ridges covered with trees, shrubs and herbs. They were established from the mid-18th century to mark plot boundaries, to ensure that grazing livestock did not stray onto neighbouring land, and to provide products as fuel or construction material. The ‘Rindergilde Geesthacht’ started cattle grazing in 1988 with 14 members and on 3 ha of land. In the meanwhile the association consists of 200 members, owns 20 Angus cows and the farmed area amounts to 52 ha, of these, 40 ha are permanent pastures. The farm allows the livestock to graze all year round and is certified organic since 20 years. In the 1960s and 1970s, most ‘Knicks’ disappeared from the farm; only 800 m were left along both sides of a farm track in 1988. In the meanwhile their combined length increased to more than 4 km: 3.5 km of ‘Knicks’ have been newly established over the past three decades. The planting activities were financially supported by the rural district. The cattle is using the ‘Knicks’ as an additional source of fodder. Hedgerow pruning provides woodchips for regional thermal utilization; thicker wood is removed and used by the association’s members.";rindergilde.jpg;https://www.rindergilde-geesthacht.de/rindergilde-geesthacht-gewinnt-1-preis-in-der-kategorie-knick-am-gruenland-des-schleswig-holsteinischer-heimatbund-shhb/;Rindergilde Geesthacht 'knicks';https://doi.org/10.5281/zenodo.10908992;EURAF Featured Farm;https://collaboratif.cirad.fr/alfresco/s/d/workspace/SpacesStore/6bb2c32b-6f75-409d-86f2-aedf8f6b26d1?attach=true;‘Knicks’ - traditional hedgerow system;;
27;San Bartolomeo farm;EURAF Featured Farms;Southern Europe;Italy;;Grazed orchards;;Olives;Pasture;12,000 chickens per week are reared in 4 farm units for meat, turkeys for meat and hens for eggs;The San Bartolomeo farm owned by Mr. Silvio Marsan, is a poultry and olive farm in the Lazio Region, north of Rome, in the province of Viterbo. The farm started this activity only few years ago with a handful of chickens. The owner wanted to rear his animals outdoors, letting them graze the land. He quickly realized that the chickens could provide benefits to the olive orchard in terms of weeding and fertilizing and, vice versa, the olive trees were beneficial for the poultry in terms of shade and protection from some predators. So he built animal shelters, spread over several olive fields (to keep the birds in small units and to optimize grazing uniformity), often adjacent to forest areas to provide increased shelter and feeding opportunities for the birds.;SanBart.png;https://pollosanbartolomeo.it/en/azienda-agricola-san-bartolomeo-organic-products/;San Bartolomeo;https://doi.org/10.5281/zenodo.10909003;EURAF Featured Farm;;;;
28;Rieckens Landmilch;EURAF Featured Farms;Western and Central Europe;Germany;54.22467050485505, 10.169539996484048;Agrosilvopastoral;90;Approximately 1.400 trees were planted in autumn 2020. Fodder hedges have been planted on the Eichhof to create new food sources. They consist of a diverse mixture of trees, such as hazel (Corylus avellane), elder (Sambucus), bird cherry (Prunus avium), alder (Alnus), mulberry (Morus), black nut (Juglans nigra), sorb tree (Sorbus domestica), rowan (Sorbus aucuparia), maple (Acer), and tree hasel (Corylus colurna). An orchard has been established with upper stem fruit trees. Mainly apple (Malus) trees were used. A chestnut plantation is Eichhofs third silvopastoral system.;Forage and grain production. The farm creates value through a diverse crop rotation on their fields. Constantly changing plant species creates a remarkably diverse biodiversity around the farm. In order to take action against the threat of widespread insect death, they have been creating a one- or two-year-old flower strip between pastures every spring since 2018.;Herd of 70 cows of Holstein Friesian for milk production.;The Riecken family farms the Eichhof since 1899. Today it is run by the 4th generation moving towards the 5th. The farm is specialised in ecological milk production with a herd of 70 cows of Holstein Friesian, which is a typical milk breed worldwide. The grazing is structured by 16 parcels based on an Irish continuous grazing system. The Riecken family is farming on 70 hectares plus 20 hectares lease. During 2018, which was an extraordinary dry year, family Riecken noticed clearly the signs of heat stress among their cows. In addition, fodder reserves for the winter had to be released in August. This traumatic year strengthened the decision to implement agroforestry. The main reasons are carbon drawdown, creating a temperate microclimate and opening up new food sources. Together with professional consulting, support of two foundations and around 100 volunteers, family Riecken planted approximately 1.400 trees in autumn 2020. Besides the cowfarm the Eichhof consists of a small dairy processing unit and a farm shop. Furthermore, many events take place in the farm, for instance education programs for kids and adults. The direct selling of diverse milk products enables the Riecken family to work together with almost 30 employees. Furthermore, it guarantees a financial stability. This financial foundation paves the way for experimenting with new farming methods, such as silvopastoral farming.;rieckens_landmilch.jpg;https://rieckens-landmilch.de/landwirtschaft/;Rieckens Landmilch;https://doi.org/10.5281/zenodo.10909014;EURAF Featured Farm;https://agroforst-info.de/im-portraet-felix-riecken/;"DeFAF ""In the portrait: Felix Riecken""";;
29;The Hamada Acorn Initiative on Kea Island (Greece);EURAF Featured Farms;Southern Europe;Greece;;Forest farming;;Quercus ithaburensis (Valonia oak);;Creating sustainable opportunities for oak-based income for farmers on Kea Island in Greece was the best and most immediate way to protect the trees, especially as the economic crisis hit and trees rapidly became used for firewood. ;The Hamada Acorn Initiative began as an effort to bring acorn awareness to the minds of local residents and people worldwide, through international crowd funding and a frequently updated website. Creating sustainable opportunities for oak-based income for farmers on Kea Island in Greece was the best and most immediate way to protect the trees, especially as the economic crisis hit and trees rapidly became used for firewood.;HadanaAcorn.png;https://www.marciemayer.com/oakmeal/;Hamada Acorn Initiative;https://doi.org/10.5281/zenodo.10909089;EURAF Featured Farm;;;;
30;The Heather-Farm: From an Old Tradition to Sustainable Modern Agriculture in France;EURAF Featured Farms;Western and Central Europe;France;;Hedgerows, riparian buffers and shelterbelts;164;Oak, hornbeam, ash, holly;Pasture, wheat, rye, spelt, triticale, peas;84 Limousin cows;Organic beef production that manages 25kms of mixed hedgerows to provide firewood, woodchip for bedding and to protect the cattle from sun in summer, rain and chilly northern wind in winter.;heather_farm_collage.jpg;https://doi.org/10.5281/zenodo.10909105;EURAF Featured Farm;;;;;;
31;Highland D'Ardenne;EURAF Featured Farms;Western and Central Europe;Belgium;49.85515084172841, 5.2526635046588535;Forest grazing;;Abandoned tree-rich plots that are grazed by Highland cattle.;;A growing herd of 120 animals, as well as a flock of sheep. The animals are out all year, with veals born wild, as with upland sheep.;Stéphane Delogne of Highland D'Ardenne, runs highland cattle in a sylvopastoral system in Bertrix, in the Belgian Ardennes. The farmer typically takes over abandoned tree-rich plots, overrun with nettles and blackberries, and leaves it to the highland cattle to bring all that back under control. He's running a growing herd of 120 animals, as well as a flock of sheep. The animals are out all year, with veals born wild, as with upland sheep. No supplementary feeding, no input costs, no stabling costs, no feeding costs, very little machinery, so low diesel and capex costs too.;highland_dardenne.jpg;https://highlanddardenne.wixsite.com/;Highland D'Ardenne (official website);https://doi.org/10.5281/zenodo.10909099;EURAF Featured Farm;https://www.facebook.com/HighlanddArdenne/;Highland D'Ardenne (facebook);;
32;Freitag WeidenArt;EURAF Featured Farms;Western and Central Europe;Germany;48.39120895920276, 11.72531973836859;Hedgerows, riparian buffers and shelterbelts;24;"Row planting at 0.75 m with an edge strip of 1.25 m makes the areas rather unsuitable for mechanical harvesting with powerful technology. The use of harvesting machines is seen rather critically due to the selective harvesting and the small areas, since mostly for technical reasons the entire crop has to be harvested. The planting is carried out with a hand-guided tiller. The cutting prices in Germany rank between 15 and 20 Ct. the piece. The first shoots after new stocking of an area (the so-called ""virgin wood"") are only cut in order to obtain straight and strong shoots from the second shoots. Until the end of May, the fresh willows are cut for gardening and landscaping. Good willows allow 10 harvests over 25-30 years. Subsequently, the area is reconverted with the forestry mulcher. The fresh rods are further processed directly in the field with the machine for bundling machines.";;;The Freitag's have traditionally been dealing with agroforestry systems for a long time, even though they were not previously referred to as such. WeidenArt is an agricultural enterprise with a total of 24 hectares of pastureland cultivated with an affiliated landscaping company. The company's experience in willow cultivation dates back to three generations.;freitag_weidenart.jpg;https://www.freitag-weidenart.com/;Freitag WeidenArt;https://doi.org/10.5281/zenodo.10909111;EURAF Featured Farm;https://agroforst-info.de/portfolio-item/freitag-weidenart/;"DeFAF ""Willow rods for handicrafts and water restoration""";;
33;Sasse Rami agroforestry farm;EURAF Featured Farms;Southern Europe;Italy;;Alley cropping with annual crops;7.5;17 different poplar clones;wheat, soybean and sugar beet;;"The “Sasse Rami” farm located in Ceregnano (RO) is the largest pilot and demonstrative farm for agroforestry farming in the North-East of Italy, own by Veneto Agricoltura Agency. In February 2018 Veneto Agricultura started implementing alley-cropping systems with poplars (Populus x canadensis) in the ""Sasse Rami"" pilot farm. 17 different poplar clones have been planted (i) in a specialized poplar grove with a 6 × 6 m block plantation (⁓290 trees ha-1) and (ii) in an alley-cropping system with NS oriented 38 m apart tree rows placed along drainage ditches (40 trees ha-1). In the alley-cropping system, each tree row hosts the same poplar clones planted in the specialized grove, and the inter-row is cultivated with arable annual crops (common wheat, soybean and sugar beet depending on the year).";SasseRami.png;https://doi.org/10.5281/zenodo.10909128;EURAF Featured Farm;;;;;;
34;Zsörk Vinehill in Hungary;EURAF Featured Farms;Western and Central Europe;Hungary;;Hedgerows, riparian buffers and shelterbelts;74;Fruit trees, vineyards, oaks;Arable, vegetables, pasture;Cattle;“Vinehills” are specific agricultural units in Hungary, and typically throughout Central Europe. These lands form well defined units on the bounds of settlements such as villages, towns or cities, and are typically divided into small plots (between 1000 m2 and 1 hectare). Historically, these areas were community lands of manyfold land use, prevalently vine and fruit production. Residents of nearby settlements used them to produce wine, fruits, nuts and vegetables, mostly for household consumption, occasionally selling the surplus. They typically had mixed purposes, producing also firewood, forage, construction material and grazing. Some families even built their houses and lived on there, in those cases the land functioned as small family farm. Zsörk  vinehill,  on  the  territory  of  Pápateszér  village,  retains  these  mosaic,  mixed  land-uses  featuring  a  lot  of  trees.;Zsork_vinehill.png;https://doi.org/10.5281/zenodo.10909134;EURAF Featured Farm;;;;;;
35;Finca Casablanca;Delphi;Southern Europe;Spain;;Wood pasture;450;"Holm and cork oak; 25 trees/ha; scattered; 70-100 years of age; cork, firewood, mast (acorns), fodder; livestock (cattle and pigs); olive oil; tourism";Legume swards;"Iberian pigs; Avileña-Black Iberian and black pronghorn cattle";Organic farm, self distribution of products in local markets. They have a low livestock load, carry out transhumance and do holistic grazing to achieve a rested soil capable of assimilating a greater amount of organic matter, reducing their carbon footprint.;Finca-Casablanca.png;https://carniceriadehesacasablanca.es/;Finca Casablanca;;;;;;
36;Horta da Malhadinha;Delphi;Southern Europe;Portugal;;Forest farming;3;Very diverse tree species;Very diverse vegetable and fruits species, weekly vegetable boxes sold locally plus produce goes to local restaurant.;;Successional agroforestry, syntropic regenerative ;Malhadinha.jpg;https://terrasintropica.com/en/projetos/cares/;CARES - Center for Agroecology and Regeneration for the Semiarid Region;;;;;;
37;Herdade de São Luís - Porcus Natura;Delphi;Southern Europe;Portugal;;Agrosilvopastoral;700;Holm and cork oak;Cover crops, cereals;Serpentine Goat, Merino Sheep, Alentejano Pig, Angus cattle;Commercial organic/regenerative farm;PORCUSNATURA.jpg;https://www.instagram.com/herdadesluis_porcusnatura/?hl=en;Herdade de São Luís - Porcus Natura;;;;;;
38;Monte Silveira Bio, Castelo Branco;Delphi;Southern Europe;Portugal;;Agrosilvopastoral;700;Holm and cork oak, olives;Cover crops, cereals, pulses;Charolesa cattle, Alentejo pigs and Merino sheep;Commercial organic/regenerative farm;MonteSilveiraBio.jpg;https://www.instagram.com/montesilveirabio/?hl=en;Monte  Silveira Bio;;;;;;
39;Vivencia Dehesa;Delphi;Southern Europe;Spain;;Wood pasture;;Holm and cork oaks;Pasture, aromatic plants;Cattle, Iberian pigs;A project to regenerate and protect the Valdepajares de Tajo property in Extremadura, Spain, which is a Private Area of Ecological Interest with diverse ecosystems and rich biodiversity. Philosophy: To respect and enhance the natural balance of the land, water, and animals, and to share the knowledge and experience of nature and agriculture with others. Vivencia Dehesa offers a farm for teaching and learning, as well as routes, courses, and activities to explore and enjoy the natural beauty of the area. It also produces natural products from the land, such as honey, olive oil, and cheese.;VivenciaDehesa.jpg;https://www.vivenciadehesa.es/?lang=en;Vivencia Dehesa;;;;;;
40;Tenuta di Paganico;Delphi;Southern Europe;Italy;;Agrosilvopastoral;1500;"Turkey Oaks (Quercus cerris L.), over 80 years old; Olive trees (Olea europea L.); olive oil. From the 70’s almost 100 ha of fire-breaks have been created in the woods, i.e. strips of land that has been cleared of all trees, shrubs and other combustible material, providing a “fuel free” area ";Firebreaks were transformed into pastures with an adequate nutritional value and equipped with water ponds for animals both in pasture or woods: the purpose was to create a real ecosystem where animals can experience the forest as their natural habitat, in which man provides, thanks to a well-designed grazing plan.;Maremmana cattle breed, an autochtonous breed. Cinta Senese pigs. Meat, processed meat;The Tenuta di Paganico is an organic farm, the agrosilvopastoral activities are comprised in commercial activities. It runs also experimental activities on farm scale. The farm works on the basis of a short supply chain and has its own restaurant and agritourism.;Tenuta.jpg;https://www.tenutadipaganico.it/it/;Tenuta di Paganico;https://agromixproject.eu/in-the-field/trial-sites/tenuta-di-paganico/;AGROMIX Field trial site;;;;
41;La Barrosa;Delphi;Southern Europe;Spain;;Wood pasture;205;Holm and cork oaks, 50 years old, 30 trees/ha, acorns, cork, livestock shelter, etc.;Very occasional cereal crops and some pastures improvements by direct seeding;Retinta breed cattle for meat and pasture rental for Iberian pigs external raisers;Commercial farm, conventional. Although a conventional dehesa farm, the owner has introduced changes that improve pasture and water availability.;LaBarrosa.jpg;https://agromixproject.eu/in-the-field/pilot-projects/la-barrosa/;La Barrosa;;;;;;
42;Olive agroforestry of Kassandra peninsula, Chalkidiki;Delphi;Southern Europe;Greece;;Intercropped orchards;10;Olive trees were 80 years old and cultivated for olives and olive oil in a density of 100 trees/ha and tree spacing of 10X10 m. Olive trees were pruned every year to improve olive production. ;The understory consisted of barley and leguminous crops such as common vetch.;;Conventional agriculture;Chalkidiki.png;https://euraf.isa.utl.pt/files/pub/21_olive_trees_intercropped_with_cereals_and_legumes.pdf;AGFORWARD Innovation leaflet;https://link.springer.com/article/10.1007/s10457-021-00618-6;Paper: Intercrop of olive trees with cereals and legumes in Chalkidiki, Northern Greece;;;;
43;Curralões;Delphi;Southern Europe;Portugal;;Alley cropping with annual crops;240;30 year old stone pines, planted at 833 trees/ha, currently thinned 50% to around 300 trees/ha and another 50% to 600 trees/ha. Designed for environmental protection (no production of pine cones due to limiting water);Crop is an aromatic plant, not recognised in CAP as a crop due to an overlapping perception of abandonemnt. It is a shrub frequently associated with un-management. The farm considers it as a crop because it is harvested/coppiced every couple years for distillation to produce hydrolate and essential oil (Cistus ladanifer);;Regenerative farm, looking for alternative management of shrubs, to demonstrate alternatives to soil degradation practices (cyclic soil turned over with heavy offset-disc harrowing);Curraloes.jpg;https://mvarc.eu/my-rockrose;MVARC;;;;;;
44;BioOase Menzingen;Delphi;Western and Central Europe;Switzerland;;Agrosilvopastoral;23;Fruit trees - apples and pears;Ancient spelt, rye, naked oats, einkorn;Mother cows and their calves graze on the farm for their own meat consumption;organic farmers (bio-dynamic);BioOase.jpg;https://www.biooase.ch/;BioOase;;;;;;
45;Agroforestry Gladbacherhof;Delphi;Western and Central Europe;Germany;;Agrosilvopastoral;190;Established in February 2020 on 3.5 ha arable land. Includes six tree strips with 3 m widht alternating with 18 m wide arable strips. Tree strip share of 8.5 ha. Main aim is soil erosion reduction and woody plant production. Three different tree use types: Fruit production (Apple trees and elderbery shrubs), timber production (five different tree species walnut, cherry, pear, sorbus torminalis and Sorbus domestica) and biomass production for wood chips and energy (five different poplar clones).;8 year crop rotation with 2 years of alfalfa grass. The crop rotation includes winter grains (wheat or spelt), summer wheat, oat, rye, fava beans, triticale and fodder maize (not in order of the rotation).;Dairy cows Holstein Friesian;Organic management of the farm which belongs to the Justus-Liebig University Gießen. The agroforestry systems (three in total) are for research and practice.;Gladbacherhof.png;https://www.uni-giessen.de/de/fbz/fb09/forschung/zentrenundprojekte/agroforst;Agroforestry Gladbacherhof;https://www.youtube.com/watch?v=rGj1lkjP0ew;Silvoarable agroforestry system at Galdbacherhof - video;;;;
46;Sweet-chestnut cultivation in southern Switzerland.;Delphi;Western and Central Europe;Switzerland;;Forest grazing;;Forests of sweet chestnut. Products are chestnuts and all their secondary products;;Sheep or goats;Historical practice at the landscape-scale. Extensive. Very important at a cultural level.;Chestnut_CH.jpg;https://castanicoltori.ch/;Association of Chestnut Growers of Italian Switzerland;;;;;;
47;Charolais Hoeffel;Delphi;Western and Central Europe;France;;Hedgerows, riparian buffers and shelterbelts;183;High stem + pollard trees. Young and old trees, Salix, Alnus, Prunus spinosa, fruit orchards.  Fodder trees, bedding,  6 km of hedgerows;Wheat, barley, maize;360 charolais cattle, meat production;"Commercial farm, conventional farming. Winners of the 2021 French agroforestry contest ""Concours des Pratiques Agro-écologiques – Agroforesterie""";Domaine.png;https://charolais-hoeffel.fr;Charolais Hoeffel;https://www.youtube.com/watch?v=UXMwRfHLHT0;Farm wins prize for its agroforestry;;;;
48;WUR Agroforestry Experiment Lelystad;Delphi;Western and Central Europe;Netherlands;;Alley cropping with annual crops;20;Windbreak with poplar, willow, alder, ash, elm, 1m spacing between trees, planted 2021. Distance between rows is alternating between 50 and 100m. Hazelnuts next to windbreak, 3m spacing between trees, planted 2022, maintained as hedges.;Arable crops in crop rotation (e.g. potatoes, onion, carrots, cereals, faba beans, peas etc.);;Agroforestry research fields;Lelystad.png;https://edepot.wur.nl/580916;Agroforestry Factsheet;;;;;;
49;Domins Hof;Delphi;Western and Central Europe;Germany;;Alley cropping with annual crops;360;"Bioenergy species: poplar, alder, black locust; Fruit trees: apple, cherry, plum.";Cultivation of silage corn, rye, oats, sunflowers, alfalfa;Suckler cow herd with 25 animals and offspring, 40 fattening places for pigs, 250 poultry animals (chickens, ducks, geese);Conventional, own slaughter and direct marketing through farm shop;Domins_Hof.jpg;https://www.landwirt-domin.de/;Domins Hof;;;;;;
50;Gut und Bosel;Delphi;Western and Central Europe;Germany;;Alley cropping with annual crops;3000;Diverse young systems age 4 years and younger species a diverse: Maple, birch, pear (cultivar), alder, poplar, walnut/black walnut, other (medlar, peach, persimmon). Mixture of silvoarable and silvopastoral systems;Wheat;Salers and Angus cattle for beef;Young farmer trying to work on a farm in one of the driest regions of Germany on sandy soils, managing the farm searching for solutions for the current and upcoming challenges.;GutundBosel.png;https://www.gutundboesel.org/en/work/agroforestry/;Gut und Bosel;;;;;;
51;OasYs;Delphi;Western and Central Europe;France;;Alley systems with livestock;91;Alnus cordata, Ulmus minor, Morus alba, Fraxinus excelsior for fodder, Quercus ilex for shade;Diversified multispecies grasslands and annual crops, associated with legumes. ;There are 72 dairy cows and replacement heifers. A three-breed rotational crossing of dairy breeds (Holstein, Scandinavian Red, and Jersey).;OasYs is an innovative mixed crop-dairy system redesigned though a collaborative approach in 2013 and implemented on an INRAE facility. It aims to permit farmers to live from their dairy cattle system in a context of climate change, while saving water and fossil energy resources and contributing to a sustainable agriculture. It relies on an agroecological approach at the farm level aiming to adapt the whole farm to climate change in a context of low inputs. The system relies on the diversification of forage resources in terms of species (including woody plants) and mixtures, the maximisation of grazing, a larger use of legumes, the recycling of water and nutrients, and also on enhanced interactions between forage, crop and livestock systems. To improve this synergy, the herd reproduction is based on two calving periods centered on spring and autumn, to better link cattle needs with the growth of grasslands, and also to overcome climatic hazards which could occur at one period. The increase of the lactation length and the crossing of dairy breeds are also experimented (cf livestock component).;OaSys.png;https://ferlus.isc.inrae.fr/dispositifs-experimentaux/oasys;OaSys;https://www.youtube.com/channel/UCke0yG8EceO0x7gvqluyrMQ;OasYs INRAE Ferlus; https://euraf.isa.utl.pt/files/pub/docs/silvopastoralism_3_novak.pdf;Integrating agroforestry into an innovative mixed crop-dairy system;https://doi.org/10.15454/SRBXQ9;Dispositif agroforestier en systeme laitier a Lusignan
52;Wendhausen experimental agroforestry ;Delphi;Western and Central Europe;Germany;;Alley cropping with annual crops;18;Tree alleys are diverse with different treatments (e.g. poplar clones, aspen or native bushes) with different alley widths: 24, 48, and 96 m. Established in 2008.;Oilseed rape, maize, wheat (all three are present at each year). Crops are also cultivated in a nearby open cropland (reference land use without trees).;;Experimental, conventional;Wendhausen.png;https://www.sciencedirect.com/science/article/pii/S0961953423001514;13 years of biomass production from three poplar clones in a temperate short-rotation alley cropping agroforestry system;https://link.springer.com/article/10.1007/s10457-018-0288-5;Long-term yields of oilseed rape and winter wheat in a short rotation alley cropping agroforestry system;;;;
53;Hedges for control of vineyard pests;AFINET;Southern Europe;All;;Hedgerows, riparian buffers and shelterbelts;;Hedgerows;Vines;;Hedgerows in vineyards provide habitat for bats and birds which reduces the presence of grapevine moth, plus slow the spread of pathogens and diseases;HedgeVines.png;https://doi.org/10.5281/zenodo.3554963;AFINET Innovation Factsheet;;;;;;
54;Mushroom cultivation in forests;AFINET;Northern Europe;Finland;;Forest farming;;Birch forests;Mushrooms;;Mushroom cultivation can provide a significant additional income for forest owners and makes forest management more eco-friendly and profitable;Mushrooms.png;https://doi.org/10.5281/zenodo.2682628;AFINET Innovation Factsheet;;;;;;
55;Walnut agroforestry;AFINET;Western and Central Europe;Belgium;;Intercropped orchards;;Walnut;Arable, vegetables;;Walnut trees for nut and timber production are highly valued with a high market demand. Crown characteristics and leaf appearance and falling period makes them very compatible to crop production in agroforestry system.;Walnuts.png;https://doi.org/10.5281/zenodo.10932670;AFINET Innovation Factsheet;;;;;;
56;Sweet chestnut agroforestry;AFINET;Western and Central Europe;Belgium;;Grazed orchards;;Sweet chestnut;Pasture;Cattle, sheep, pigs, chickens;Chestnut trees have been cultivated for centuries in Europe for their nuts and/or timber and have the highest economic importance for their nuts and/or timber. In agroforestry systems, a minimal planting distance of 12 m in-rows and 20 m between rows is advised (e.g. density of 40 trees per ha) because of the broad crown resulting in a lot of shade. ;ChestnutBelgium.png;https://doi.org/10.5281/zenodo.10932694;AFINET Innovation Factsheet;;;;;;
57;Shelterbelt designs;AFINET;Southern Europe;Portugal;;Hedgerows, riparian buffers and shelterbelts;;Populus, Alnus, Salix, Platanus, Robinia, Ulmus, Eucalyptus, Pinea, Cupressus;Any;Any;Choosing the right woody plants to include in shelterbelts or windbreaks requires careful and timely assessment of the ecological needs, of the structure required, the climate, soil, crops and other elements on the farm. ;ana_SE_tree_hedges.png;https://doi.org/10.5281/zenodo.10932753;AFINET Innovation Factsheet;;;;;;
58;Olive leaf fodder;AFINET;Southern Europe;Italy;;Grazed orchards;;Olive trees;;Sheep;Olive orchard grazing can offer a lot of benefits: sheep reduce costs by controlling grass and suckers growing and increasing nitrogen recycling, while the olive leaves provide high quality feed in winter when the availability of grass is reduced.;Olivesheep.png;https://doi.org/10.5281/zenodo.3414062;AFINET Innovation Factsheet;;;;;;
59;Homegardens;AFINET;Western and Central Europe;All;;Forest farming;;Diverse mixture;Mostly perennials;;Apart from a number of environmental (e.g. resilience to climate change) and social advantages (as a community resource), homegardens provide economic benefits range from high value from new crops to improving income from marginal soil and diversifying income streams. Homegardens aim to be self-maintaining and increase the self-sufficiency of households;Homegarden.png;https://doi.org/10.5281/zenodo.3562962;AFINET Innovation Factsheet;;;;;;
60;Pigs and Poplars;AGFORWARD;Southern Europe;Italy;;Alley systems with livestock;3.5;Poplar;;Pigs;Incorporating high-density poplar fields within the production system of organic free range fattened heavy pigs (slaughtering live weight  about  180-220  kg),  brings  several benefits including reducing risk of nutrient leaching and improving animal welfare.;ItalyPigsPoplar.png;https://doi.org/10.5281/zenodo.10925748;AGFORWARD Innovation ;;;;;;
61;Duchy Home Farm;Jo;Northern Europe;UK;;Intercropped orchards;4;1000 heritage apple varieties, 11m alleys, 2m between trees;Vegetables;;In 2009, thousand different apple tree varieties (half-standard) were planted on a field of approximately 2 ha. In between the tree rows, vegetables (leeks, squash, parsnip, celeriac, maize, beans, brussel sprouts)are grown in three beds, each 6 feet (1.8 m) wide;Duchy_apple_agroforestry.JPG;https://www.mofga.org/resources/international/prince-charles-royal-patron-for-sustainability/;Prince Charles Royal Patron for Sustainability;;;;;;
62;Orchard grazing;AGFORWARD;Northern Europe;UK;;Grazed orchards;;Apples;;Sheep;The potential benefits from grazing apple orchards with sheep include a reduction in mowing costs and an additional source of grass for the sheep. The sheep can promote nutrient cycling and can benefit from the shelter in winter. However, introducing sheep to an orchard is not suitable in all cases and sometimes it is the wrong thing to do. This leaflet describes some of the issues to consider before introducing sheep.;NE_Grazed_orchards_copyright_Agforward.jpg;https://doi.org/10.5281/zenodo.10914612;AGFORWARD Innovation ;;;;;;
63;Economic benefits of grazed apple orchards;AGFORWARD;Northern Europe;UK;;Grazed orchards;;Apples;;Sheep;Orchard grazing can offer financial and environmental benefits. The experience of stakeholders in the AGFORWARD project is that some lowland sheep breeds (e.g. Shropshire) can successfully graze on orchards which have been pruned to a height of 1-2 m without noticeable losses in apple yields. Sheep producers can profit from an additional source of grass in the orchards, and the release of grazed land for hay production. Orchard owners can profit from reduced mowing costs, increased nitrogen cycling and a rent from the sheep owner. There can also be societal benefits in terms of employment and plant biodiversity.;CiderSheep.png;https://doi.org/10.5281/zenodo.10914598;AGFORWARD Innovation ;;;;;;
