Key from Zotero;Publication Year;Author;Title;Abstract Note;DOI;Url;exposure_1;exposure_2;exposure_3;exposure_4;exposure_5;exposure_6;exposure_7;exposure_8;exposure_9;sensitivity_1;sensitivity_2;sensitivity_3;sensitivity_4;sensitivity_5;sensitivity_6;sensitivity_7;sensitivity_8;sensitivity_9;sensitivity_10;sensitivity_11;sensitivity_12;sensitivity_13;adaptive_capacity_1;adaptive_capacity_2;adaptive_capacity_3;adaptive_capacity_4;adaptive_capacity_5;adaptive_capacity_6;adaptive_capacity_8;Agrosilvopastoral;Alley cropping with annual crops;Forest farming;Hedgerows, riparian buffers and shelterbelts;Intercropped orchards;Forest grazing;Wood pasture;Alley systems with livestock;Grazed orchards;Mixed farming: Between-farms complementarity;Mixed farming: Between-farms synergy;Mixed farming: Within-farm complementarity;Mixed farming: Within-farm synergy;Southern Europe;Western and Central Europe;Northern Europe;Filters;notes
6IHBNMF2;2004;"Jose, S.; Gillespie, A. R.; Pallardy, S. G.";Interspecific interactions in temperate agroforestry;The ecological principles that define the competitive and complementary interactions among trees, crops, and fauna in agroforestry systems have received considerable research attention during the recent past. These principles have not yet, however, been adequately integrated and synthesized into an operational approach. This paper reviews the ecological and ecophysiological bases for interspecific interactions based on data from site-specific research and demonstration trials from temperate agroforestry systems, primarily from temperate North America. The review shows that information on ecological interactions in several temperate agroforestry systems is inadequate. It is recommended that the future research should focus on exploring new species and systems that have received little attention in the past. Priority research areas should include cultural practices and system designs to minimize interspecific competition and maximize environmental benefits such as improved water quality. Potential for genetic modification of components to increase productivity and reduce competition also needs to be explored. Process-oriented models may be used increasingly to predict resource-allocation patterns and possible benefits for a suite of site and species combinations.;10.1023/B:AGFO.0000029002.85273.9b;https://doi.org/10.1023/B:AGFO.0000029002.85273.9b;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;;x;x;x;x;x;x;x;x;x;;;;;x;x;x;;
KF7XB2ZG;2011;"Moreira, Francisco; Viedma, Olga; Arianoutsou, Margarita; Curt, Thomas; Koutsias, Nikos; Rigolot, Eric; Barbati, Anna; Corona, Piermaria; Vaz, Pedro; Xanthopoulos, Gavriil; Mouillot, Florent; Bilgili, Ertugrul";Landscape--wildfire interactions in southern Europe: implications for landscape management;"Every year approximately half a million hectares of land are burned by wildfires in southern Europe, causing large ecological and socio-economic impacts. Climate and land use changes in the last decades have increased fire risk and danger. In this paper we review the available scientific knowledge on the relationships between landscape and wildfires in the Mediterranean region, with a focus on its application for defining landscape management guidelines and policies that could be adopted in order to promote landscapes with lower fire hazard. The main findings are that (1) socio-economic drivers have favoured land cover changes contributing to increasing fire hazard in the last decades, (2) large wildfires are becoming more frequent, (3) increased fire frequency is promoting homogeneous landscapes covered by fire-prone shrublands; (4) landscape planning to reduce fuel loads may be successful only if fire weather conditions are not extreme. The challenges to address these problems and the policy and landscape management responses that should be adopted are discussed, along with major knowledge gaps.";10.1016/j.jenvman.2011.06.028;https://doi.org/10.1016/j.jenvman.2011.06.028;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
XYDJXL28;2022;"Williams, Jared; Stella, John C.; Voelker, Steven L.; Lambert, Adam M.; Pelletier, Lissa M.; Drake, John E.; Friedman, Jonathan M.; Roberts, Dar A.; Singer, Michael Bliss";Local groundwater decline exacerbates response of dryland riparian woodlands to climatic drought;Dryland riparian woodlands are considered to be locally buffered from droughts by shallow and stable groundwater levels. However, climate change is causing more frequent and severe drought events, accompanied by warmer temperatures, collectively threatening the persistence of these groundwater dependent ecosystems through a combination of increasing evaporative demand and decreasing groundwater supply. We conducted a dendro-isotopic analysis of radial growth and seasonal (semi-annual) carbon isotope discrimination (Δ13 C) to investigate the response of riparian cottonwood stands to the unprecedented California-wide drought from 2012 to 2019, along the largest remaining free-flowing river in Southern California. Our goals were to identify principal drivers and indicators of drought stress for dryland riparian woodlands, determine their thresholds of tolerance to hydroclimatic stressors, and ultimately assess their vulnerability to climate change. Riparian trees were highly responsive to drought conditions along the river, exhibiting suppressed growth and strong stomatal closure (inferred from reduced Δ13 C) during peak drought years. However, patterns of radial growth and Δ13 C were quite variable among sites that differed in climatic conditions and rate of groundwater decline. We show that the rate of groundwater decline, as opposed to climate factors, was the primary driver of site differences in drought stress, and trees showed greater sensitivity to temperature at sites subjected to faster groundwater decline. Across sites, higher correlation between radial growth and Δ13 C for individual trees, and higher inter-correlation of Δ13 C among trees were indicative of greater drought stress. Trees showed a threshold of tolerance to groundwater decline at 0.5 m year-1 beyond which drought stress became increasingly evident and severe. For sites that exceeded this threshold, peak physiological stress occurred when total groundwater recession exceeded ~3 m. These findings indicate that drought-induced groundwater decline associated with more extreme droughts is a primary threat to dryland riparian woodlands and increases their susceptibility to projected warmer temperatures.;10.1111/gcb.16376;https://doi.org/10.1111/gcb.16376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;x;x;x;;
5TC7SVG5;2016;"Alam, Mahbubul; Olivier, Alain; Paquette, Alain";Measurements and economics of carbon sequestration in temperate tree-based intercropping systems;The paper aims to quantify and monetise carbon sequestration potential of temperate Tree-Based Intercropping (TBI) systems in Canada. The net carbon sequestration potential is estimated to be 2.26 Mg C ha-1y-1 that represents an immobilisation of 8.3 ton CO2 ha-1y-1. In economic terms this amount of sequestered carbon represents $24,383 per hectare of societal benefits over a rotation period of 40 years. This means 137 million dollars per year of climate regulation services could be achieved through establishment of TBI systems on 1.93 million hectares of land areas in the province of Québec in Canada. Government incentives, however, are needed to interest farmers in adopting practices that reduce farmers' private profits yet benefit society as a whole.;10.1504/IJARGE.2016.076919;https://doi.org/10.1504/IJARGE.2016.076919;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;;x;;;;;;;;;;;;x;x;x;;
BJSPY4SW;2021;"Picard, Nicolas; Garavaglia, Valentina";Mediterranean Forests and the United Nations Sustainable Development Goals;Several of the Sustainable Development Goals (SDGs) defined in the 2030 Agenda for Sustainable Development of the United Nations are relevant for Mediterranean pine and mixed forests, especially those related to the restoration of degraded forest ecosystems and to climate change mitigation and adaptation. Because Mediterranean forests are an important source of natural capital, they can significantly contribute to the achievement of forest-related global goals, provided that their specific features are considered. One such specificity is that the value of Mediterranean forests lies more in their non-wood forest products and services than in their wood products. Forest-based solutions to address SDGs would thus need to rely on those products and services and acknowledge their true value, especially with regard to ecosystem services that are often treated as externalities. Another specificity of Mediterranean forests is their connection to other sectors and to local communities, thus making landscape and participatory approaches, such as forest and landscape restoration, particularly relevant for the region. Enabling conditions for Mediterranean forests to contribute to the achievement of SDGs includes the alignment of regional and national policies and strategies on global goals. It also requires forest monitoring systems to be established.;;https://doi.org/10.1007/978-3-030-63625-8_28;;;;;;;;;;;;;;;;x;;;;;;;x;;;;x;x;;;;x;;;x;;;;;;;;x;;;;
SSTHE7AS;2019;"Kanzler, Michael; Böhm, Christian; Mirck, Jaconette; Schmitt, Dieter; Veste, Maik";Microclimate effects on evaporation and winter wheat (Triticum aestivum L.) yield within a temperate agroforestry system;This study investigates the spatial and temporal impact of microclimate conditions caused by poplar hedgerows in a short rotation alley cropping system (SRACS), and their effect on the atmospheric evaporative demand (AED) and the grain crop yield of winter wheat (Triticum aestivum var. Patras) in direct comparison to a common agricultural crop system. Microclimate was measured at nine positions distributed at the SRACS and an adjacent open field in Brandenburg State (Germany) from March to August 2016. Our hypothesis was that microclimate and AED was improved at SRACS, with traceable effects on the crop yield. The analysis of air temperature and water vapour deficit (VPD) data revealed significantly (p ≤ 0.05) lower daytime values from June to August at the crop alley of the SRACS, which were generally most frequent at the poplar hedgerow and 3 m west positions. By contrast, wind speed was reduced at almost all the positions of our crop alley and during the entire measurement period during both day and night. The AED measured on sampling days in July was significantly (p ≤ 0.001) reduced at the whole crop alley, with values from 24 to 32% in comparison to the open field. We observed a strong linear relationship (R2 ≈ 0.78–0.99) between AED on one side and wind speed and VPD on the other side. The average grain yield within the SRACS was 16% higher than on the OF. However, our microclimate data were insufficient to explain this yield surplus.;10.1007/s10457-018-0289-4;https://doi.org/10.1007/s10457-018-0289-4;;x;x;;;x;x;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;x;x;x;;
JFZ2TV6I;2015;"Karki, Uma; Goodman, Mary S.";Microclimatic differences between mature loblolly-pine silvopasture and open-pasture;Information is needed on microclimatic differences present in different landscapes, such as open-pasture versus silvopasture, in the Southeast USA. This research tested a hypothesis that microclimatic conditions in mature-pine silvopasture would be milder compared to open-pasture. The research objective was to quantify microclimatic differences between mature-pine silvopasture and open pasture. The research was conducted in a loblolly-pine (Pinus taeda L.)-bahiagrass (Paspalum notatum Flugge) silvopasture and an open bahiagrass pasture, 5-ha each, in Chipley, Florida. Microclimatic parameters (air temperature, soil temperature at 5- and 10-cm depths, wind speed, gust speed, wind direction, humidity, dew point, rainfall, soil-moisture content, total solar radiation, and photosynthetically active radiation) were collected from November 2005 to January 2008 using HOBO© weather stations located in each pasture type. Data were analyzed to determine overall, as well as seasonal, monthly, and diurnal differences between pasture types. Evapotranspiration was calculated from air temperature, wind speed, relative humidity, and total solar radiation. The overall average values for all microclimatic parameters were lower in silvopasture compared to open-pasture. Seasonal, monthly, and diurnal differences between pasture types were also detected for several parameters. These results indicate that milder microclimatic conditions occur in silvopasture versus open-pasture on the Coastal Plain of the Southeast USA.;10.1007/s10457-014-9768-4;https://doi.org/10.1007/s10457-014-9768-4;;x;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;x;x;x;;
LPCVQE9S;2022;"Jacobs, Suzanne R.; Webber, Heidi; Niether, Wiebke; Grahmann, Kathrin; Lüttschwager, Dietmar; Schwartz, Carmen; Breuer, Lutz; Bellingrath-Kimura, Sonoko D.";Modification of the microclimate and water balance through the integration of trees into temperate cropping systems;Climate change scenarios predict an increased occurrence of droughts and heatwaves, as well as extreme rainfall events in Central Europe. Alley cropping, which is the inclusion of rows of trees and shrubs in agricultural land, could enhance the resilience of cropping systems, as these systems are expected to positively modify the microclimate and water balance of croplands. This review analyses the effect of alley cropping on the microclimate and water balance, based on the available evidence from temperate alley cropping systems. Within alley cropping systems, the tree rows generate gradients in microclimatic variables, whereby strongest effects are observed in or close to the tree rows. Field-scale studies on light intensity (n=20), wind speed (n=4) and surface runoff (n=3) all reported a reduction compared to sole cropping systems. Effects on air temperature (n=10), relative humidity (n=5) and evapotranspiration (n=6) varied among studies, with the majority reporting a decrease in daytime temperatures (50% of studies), variable effects on relative humidity (60%) and an increase in evapotranspiration (50%) due to higher evapotranspiration by trees. Highest variation among studies was found for soil moisture, with 41% of studies reporting temporal and spatial differences within the system. This variation among studies likely depends on the purpose of the trees (short rotation coppice vs. fruit and/or timber trees) and design of the system. Also site context, such as topography, landscape diversity and climate, could play a role, but these factors are rarely taken into account. Only few studies investigated landscape-scale effects (n=3), such as groundwater recharge and moisture recycling. Future research should investigate the role of site context in the functioning of alley cropping systems and quantify landscape-scale effects. The process understanding gained from those studies will contribute to designing alley cropping systems that enhance the climate change resilience of current central European cropping systems.;10.1016/j.agrformet.2022.109065;https://doi.org/10.1016/j.agrformet.2022.109065;x;x;x;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;x;x;;
KUTS7W3K;2007;"Ryszkowski, Lech; Kedziora, Andrzej";Modification of water flows and nitrogen fluxes by shelterbelts;The introduction of shelterbelts (mid-field trees linear structures) in a uniform agricultural landscape composed mainly of cultivated fields is one of the best tools for managing heat balance and water regime in the landscape. Evapotranspiration rates, surface runoff and percolation of water across a soil profile are controlled by shelterbelts. The heat transfers from cultivated fields to shelterbelts by advection processes enhance evapotranspiration rates from trees. Depth of groundwater table and thermal conditions have important bearing on the uptake of groundwater by trees. The studies showed that in the Turew agricultural landscape, located near Poznan, Poland, shelterbelts use for evapotranspiration 40 percent more water than cultivated fields. For air heating cultivated fields use 280 percent of solar energy more than shelterbelts. The shelterbelts limit N-NO3- spreading with groundwater very effectively. Concentrations of inflowing nitrates with groundwater dropped to 2.3-24.4 percent of the input from fields. In contrast to nitrate ions the ammonium behave entirely different. Often concentration of ammonium increased in groundwater under shelterbelts. Higher concentrations of N-NH4+ under shelterbelts than under field indicated that ammonium ions were released during decomposition of organic matter. This supposition was directly proved by estimates of very high rates of urease activity which enzyme converts urea nitrogen into NH3 in the final stages of protein decomposition. It was estimated that N2O fluxes from soil of shelterbelts are much smaller than from cultivated fields. The balance of nitrogen inputs and outputs in a shelterbelt indicated that the internal recycling of this element is of crucial importance for the controlling efficiency of nitrogen compounds spreading in an environment. © 2006 Elsevier B.V. All rights reserved.;10.1016/j.ecoleng.2006.09.023;https://doi.org/10.1016/j.ecoleng.2006.09.023;;;x;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;x;x;x;;
4PQ7X9SZ;2018;"Van Vooren, Laura; Reubens, Bert; Ampoorter, Evy; Broekx, Steven; Pardon, Paul; Van Waes, Chris; Verheyen, Kris";Monitoring the Impact of Hedgerows and Grass Strips on the Performance of Multiple Ecosystem Service Indicators;The importance of semi-natural vegetation elements in the agricultural landscape is increasingly recognized because they have the potential to enhance multiple ecosystem service delivery and biodiversity. However, there is great variability in the observed effects within and between studies. Also, little is known about the simultaneous delivery of multiple ecosystem services and biodiversity because most studies focus on monitoring one service at a time and in conditions specifically suited to observe this one service. In this study, the results are presented of 1 year of monitoring of a set of parcel-level and simplistic ecosystem service and biodiversity indicators on parcels with grass strips or hedgerows. In the grass strips, an increase in soil organic carbon stock, a decrease in soil mineral nitrogen content, a different carabid species composition and a higher spider activity density were found, compared to the adjacent arable parcel. These results indicate a contribution of grass strips to climate regulation, the regulation of water quality, an increase of beta diversity and potential for pest control. Next to hedgerows, crop yield was reduced and winter wheat thousand kernel weight, soil organic carbon stock and spider activity density were increased. These indicators show an effect of the hedgerow on food production, climate regulation and potential for pest control. The study concludes that both grass strips and hedgerows have the potential to increase multiple ecosystem service delivery, but that an increase of every service is not assured and that multifunctionality is affected by management choices. Also, an improved experimental setup in order to enhance ecosystem service monitoring is suggested.;10.1007/s00267-018-1043-4;https://doi.org/10.1007/s00267-018-1043-4;;;;;;;;;;x;x;;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;;x;x;x;;reduced crop yield
JMGTQLPD;1995;Kiepe, P.;No Runoff , No Soil Loss : soil and water conservation in hedgerow barrier systems;Land degradation by water erosion represents a serious, and fast increasing, environmental threat. Hedgerow barriers control water erosion through the presence of the tree stem and through an increase in infiltration beneath the hedgerow. The infiltration rate beneath hedgerows is 3-8 times higher than in the alley where crops are grown. Soil water content measurements in hedgerow barrier systems indicate that infiltrated water penetrates the soil beneath hedgerows deeper than the soil beneath the alley and the control. An analytical framework for calculating the impact of hedgerows and mulch on infiltration, runoff and soil loss is presented here. The framework was expanded with algorithms to calculate the impact of hedgerows of various densities, ranging from 1-4 rows. The framework was applied on a seasonal basis and the predictions were satisfactory. Extreme events can be explained when dynamic soil and plant conditions are incorporated. A dynamic simulation model called SHIELD has been developed that explains the experimental observations for runoff, soil loss and crop yields using daily time steps. Application of the model illustrates the importance of dynamic soil and plant conditions to the amount of soil being lost and shows that SHIELD can be used to compute the maximum desired distance between hedgerows with respect to tolerable soil loss. ;;https://edepot.wur.nl/210308;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;;;;x;x;x;;
VKU5TGSI;2014;"Smith, Jo; Kuoppala, Kaisa; Yáñez-Ruiz, David; Leach, Katharine; Rinne, Marketta";Nutritional and fermentation quality of ensiled willow from an integrated feed and bioenergy agroforestry system in UK;"Agroforestry, the integration of trees and agriculture, is valued as a multifunctional land use approach that balances the production of commodities (food, feed, fuel, fibre etc.) with non-commodity outputs such as environmental protection and cultural and landscape amenities. In this study, the possibilities for fodder production from a short rotation coppice of willow (Salix viminalis) used for wood chips to produce energy were investigated. The nutritional value and ensilability were assessed from first year regrowth of willow harvested on 29 June 2011 at Wakelyns Agroforestry, Suffolk, UK. The willow branches with a stem diameter less than 8 mm were manually harvested from 4 plots in two replicates. From 2 plots, another sample was prepared including leaves only. Both dried raw material and silage samples ensiled in evacuated polyethylene bags were analyzed. The crude protein concentration was relatively high in leaf + stem silage (182 g/kg dry matter (DM)) and even higher in leaf only silage (219 g/kg DM) and the fibre concentration was relatively low. However, the organic matter digestibility determined by in vitro pepsin-cellulase method was low (0.421 for leaf + stem silage and 0.511 for leaf only silage) and it cannot be considered as a suitable feed for lactating dairy cows. However, it might be suitable for other animal groups with lower energy requirements. The appearance and smell of the silage samples at opening of the vacuum plastic bags was rather pleasant with minor deteriorations (probably yeasts) visible. The extent of fermentation was low and pH high (5.79) for a rather low DM material (DM concentration 276 g/kg). The water soluble carbohydrates of the raw material (35 g/kg DM) and the residual water soluble carbohydrate concentration in silages was relatively low, which at least partly explains the restricted production of fermentation acids. The fermentation profile was heterofermentative (acetic acid dominated instead of lactic acid). The concentrations of total condensed tannins fractions were almost twice as high in the leaf only silage compared to leaf + stem silage. Although the feed values of willow were low, it may have a role in multifunctional systems, where it can provide additional values in grazing situations such as self-medication and microclimate benefits. For easy and efficient use in animal production, controlled browsing might be used; otherwise methods for harvesting and preservation need to be developed. There seems to be some scope for ensiling willow material. This work is part of an EU FP7 funded project “Sustainable organic and low input dairying” (SOLID, KBBE.2010.1.2-02). For more information on the project, see www.solidairy.eu";10.33354/smst.75342;https://doi.org/10.33354/smst.75342;;;;;;;;;;;;;x;x;;x;;x;;;;;x;;;;;;;;;;;;x;x;x;;;;;;x;x;x;;
PUUAVHQX;2021;"Temani, Fida; Bouaziz, Ahmed; Daoui, Khalid; Wery, Jacques; Barkaoui, Karim";Olive agroforestry can improve land productivity even under low water availability in the South Mediterranean;Agroforestry systems can be an effective means of stabilizing or even enhancing crop yields under climate change. Although trees compete with crops for soil resources in agroforestry,they can also improve crops' growing conditions, especially, by providing shade under drought. They can promote higher crop yields and higher harvest quality in the drylands. However, the beneficial effect of tree shade may depend on the seasonal pattern of rainfall, which determines the compensation between yield components. In this study, we evaluated two annual crops (durum wheat and faba bean) in olive agroforestry in northern Morocco. We manipulated water supply in a field experiment to span the high inter-annual rainfall variability at the site and tested whether olive trees reduce or improve crop yields. We assessed the effect of water addition on crop growth, yield components, and final yields and estimated the land equivalent ratio of olive agroforestry. Agroforestry limited crop growth and yield whatever the water regime. The magnitude of grain yield reduction was around 50 % for both crops in 2018, probably due to shade. The number of grains per unit area was the most impacted yield component in both 2018 and 2019. In contrast, water addition only had limited effects on faba bean yield, although it enhanced wheat grain yield by 11 % and the number of wheat spikes by 13 %. Agroforestry improved individual grain weight by 39 % for wheat and 17 % for faba bean, and enhanced the protein content of wheat grains and straw by 4 % and 9 %. However, improvements in grain weight and in protein content were not sufficient to compensate for yield loss due to shade. Despite lower crop yields, we show that agroforestry systems are still more land productive than sole crops and trees, even under arid conditions. We show how changing water supply may impact the performance of olive agroforestry in a drier future.;10.1016/j.agee.2020.107234;https://doi.org/10.1016/j.agee.2020.107234;;;;;;;x;;;;;;;;;x;;x;x;;;;x;;;;;;;;x;;;x;;;;;;;;;x;;;;reduced crop yields
3MSNU67R;2018;"Varela, Elsa; Górriz-Mifsud, Elena; Ruiz-Mirazo, Jabier; López-i-Gelats, Feliu";Payment for targeted grazing: Integrating local shepherds into wildfire prevention;Wildfires are one of the most prominent risks for Mediterranean forests, reducing the flow of ecosystem services and representing a hazard for infrastructure and human lives. Several wildfire prevention programs in southern Europe are currently incorporating extensive livestock grazers in fire prevention activities to reduce the high costs of mechanical clearance. Among these the Andalusian network of grazed fuel breaks, the so-called RAPCA program, stands out for its dimension and stability over time. RAPCA currently works with 220 local shepherds who, with their guided flocks maintain low biomass levels in almost 6000 ha of fuel breaks in public forests to meet fire prevention standards. This work analyses the institutional design and performance of the RAPCA payment scheme under a payment for environmental services (PES) framework. Results show effectiveness of the payment scheme while efficiency is achieved through savings relative to the mainstream mechanized biomass removal, as well as through reduced information asymmetry. High-level and stable political commitment has been crucial for the emergence and consolidation of RAPCA. Moreover, key intermediaries and sound monitoring practices increased levels of trust amongst involved actors. Beneficial side-effects include social recognition of shepherds’ activities and reduction of their friction with forest managers.;10.3390/f9080464;https://doi.org/10.3390/f9080464;;;;;;;;;x;;;;;;;;;;;;;;;;x;x;x;x;x;;;;;;x;;;;;;;;x;;;;
HZVQXKAF;2022;"Arenas-Corraliza, María Guadalupe; López-Díaz, María Lourdes; Rolo, Víctor; Cáceres, Yonatan; Moreno, Gerardo";Phenological, morphological and physiological drivers of cereal grain yield in Mediterranean agroforestry systems;Climate change will pose a major threat to food supply worldwide. Agroforestry has been proposed as an effective approach to minimize its effects on crops. However, to design sustainable and productive agroforestry systems, net responses of crops to trees need to be clarified, particularly in regions where competitive interactions will outweigh facilitative ones. The study of plant traits has become a useful approach to select best-adapted plants, yet the sensitivity of yield components to agroforestry and their relationship with plant traits needs investigation. In this experiment, we assess the phenological, morphological and physiological responses of shade-adapted cultivars of winter wheat (Triticum aestivum L.) and barley (Hordeum vulgare L.), growing in an agroforestry system (AF) with walnut trees (Juglans x intermedia Mj209xRa), as compared to cereal monocrops (MC). Agroforestry reduced the light intercepted by crops by 58 %, buffered extreme temperatures at the crop canopy level and increased air relative humidity, advancing plant development for wheat and barley. Major tree effects on crops were observed after walnut budburst. Under trees, crops increased the relative water content (RWC), Photochemical Reflectance Index (PRI) and P content of both wheat and barley leaves, increased Normalized Difference Vegetation Index (NDVI) of barley leaves, and reduced leaf mass area (LMA) in wheat and cell membrane damage in both species. In agroforestry, crops also reduced plant growth, leaf area (LA), leaf area index (LAI) and grain yield in both wheat and barley. Drivers of grain yield differed among agroforestry and open conditions in both species, showing for the first time that the selection of cereal cultivars for specific conditions could be based on plant traits, along with the shade tolerance, to establish successful agroforestry systems.;10.1016/j.agee.2022.108158;https://doi.org/10.1016/j.agee.2022.108158;;;x;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;x;;;;reduced crop yields
7DXLIE8G;2006;"Austad, I.; Hauge, L.";Pollarding in western Norway;A description is given of pollarding methods and the drying and storage of bunches of twigs, mainly birch, for winter fodder. Although a widespread practice in Europe in earlier times, the practice is rapidly disappearing and restoration/conservation measures are necessary to maintain this type of landscape.;;;;;;;;;;;;;;;x;x;;x;;x;;;;;x;;;;;;;;;;;;x;x;;;;;;;x;x;x;;
QIWISQUC;2021;"Paź-Dyderska, Sonia; Jagodziński, Andrzej M.; Dyderski, Marcin K.";Possible changes in spatial distribution of walnut (Juglans regia L.) in Europe under warming climate;Juglans regia L. is a species of great importance for environmental management due to attractive wood and nutritious fruits, but also high invasive potential. Thus, uncertainties connected with its range shift are essential for environmental management. We aimed to predict the future climatic optimum of J. regia in Europe under changing climate, to assess the most important climatic factors that determine its potential distribution, and to compare the results obtained among three different global circulation models (GCMs). We used distribution data from the Global Biodiversity Information Facility and completed it with data from the literature. Using the MaxEnt algorithm, we prepared a species distribution model for the years 2061–2080 using 19 bioclimatic variables. We applied three emission scenarios, expressed by representative concentration pathways (RCPs): RCP2.6, RCP4.5, and RCP8.5 and three GCMs: HadGEM2-ES, IPSL-CM5A-LR, and MPI-SM-LR. Our study predicted northward shift of the species, with simultaneous distribution loss at the southern edge of the current range, driven by increasing climate seasonality. Temperature seasonality and temperature annual range were the predictors of highest importance. General trends are common for the projections presented, but the variability of our projections among the GCMs or RCPs applied (predicted range will contract from 17.4 to 84.6% of the current distribution area) shows that caution should be maintained while managing J. regia populations. Adaptive measures should focus on maintaining genetic resources and assisted migration at the southern range edge, due to range contraction. Simultaneously, at the northern edge of the range, J. regia turns into an invasive species, which may need risk assessments and control of unintended spread.;10.1007/s10113-020-01745-z;https://doi.org/10.1007/s10113-020-01745-z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;x;;x;x;x;;;;;x;x;x;;
LR7ZXP2B;2014;"Buehrer, Krista A.; Grieshop, Matthew J.";Postharvest grazing of hogs in organic fruit orchards for weed, fruit, and insect pest management;In many perennial fruit systems, unharvested fruit left on the orchard floor can exacerbate insect pest problems by harboring insect pest larvae. Apple, cherry, and pear growers in the northeastern USA must control a number of challenging insect pests, including plum curculio Conotrachelus nenuphar (Herbst), codling moth (Cydia pomonella (L.)), and oriental fruit moth Grapholita molesta (Busck). Integrating livestock into tree fruit systems for the purpose of consuming leftover fruit may provide insect and weed pest management services. We rotationally grazed pigs after harvest in certified organic apple, cherry, and pear orchards to determine the amount of fruit the hogs would consume from the orchard floor, the impact hogs would have on orchard ground cover, and what pest insects the hogs could potentially suppress by consuming leftover fruit. The pigs consumed 100 % of leftover fruit in all three orchard types. Pigs significantly increased the amount of bare ground and decreased the amount of grass in all three orchard types. Both codling moth and oriental fruit moth larvae were found to be present in leftover apples and pears collected from the ground, whereas no pest insects were found in leftover cherries. Plum curculio fruit damage was significantly lower in grazed cherry plots, and codling moth/oriental fruit moth fruit damage was significantly lower in grazed pear plots following the first year of the study. Fruit damage data could not be collected following the second year of the study due to total crop loss.;10.1007/s13165-014-0076-0;https://doi.org/10.1007/s13165-014-0076-0;;;;;;;;;;;;;x;;;x;x;;;;;;;;;;;;;;;;;;;;;x;;;;;x;x;x;;
F5TJMRW3;2015;"Luske, B.; van Eekeren, N.";Potential of fodder trees in high-output dairy systems;The reform of the EU's Common Agricultural Policy (CAP) has created renewed interest in the implementation of agroforestry and silvopastoral systems. The multifunctional use of trees for energy and wood production, nutrient cycling, carbon storage, biodiversity, landscape quality and – last but not least – fodder makes trees a potential third crop next to grass and maize on farmland including high-output dairy farms. To decide which trees to use for planting, it is important to have insight into the feeding value of the different species. Therefore we created a database on the feeding values, using data from the literature. The database includes records of tree leaves, twigs, and twigs with leaves of 40 different temperate tree species (620 records in total) (www.voederbomen.nl/nutritionalvalues). Using this database, we compared the nutritive value of the leaves of a number of temperate fodder trees. The nutritive values for grass (Lolium perenne L.) are shown for comparison. These data show that, compared to grass, the in vitro organic matter digestibility of tree leaves is relatively low. However, for some species the concentrations of crude protein, and of macro-and micronutrients, are relatively high, which shows the potential value of tree leaves as an additional feed source on dairy farms.;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;x;;;x;;;x;x;;;;;;x;x;x;;
